사업지구번호,기준년도,시군구코드,시군구명,사업지구명,토지고유코드,토지임야대장 지목코드,토지임야대장 면적,조사자 의견내용,건축물 일련번호,지상층수,지하층수,건축면적,건폐율,용적률,건축물구조코드,건축물구조코드명,건축물용도코드,건축물용도코드명
3892,2020,44180,충청남도 보령시,대천3지구,4418010100102880161,08,194.00,현장 담장으로 경계설정,2102,2,1,114.4000,58.97,111.99,14,시멘트벽돌조,12,다가구주택
3892,2020,44180,충청남도 보령시,대천3지구,4418010100102970287,08,213.00,토지의 이용현황에 따라 측정,2284,1,1,94.3800,0.00,0.00,14,시멘트벽돌조,61,
3892,2020,44180,충청남도 보령시,대천3지구,4418010100102970304,08,196.00,토지의 이용현황에 따라 측정,2295,1,1,81.5400,0.00,0.00,14,시멘트벽돌조,11,단독주택
3892,2020,44180,충청남도 보령시,대천3지구,4418010100102970311,08,253.00,토지의 이용현황에 따라 측정,2301,2,1,76.3500,0.00,0.00,14,시멘트벽돌조,11,단독주택
3892,2020,44180,충청남도 보령시,대천3지구,4418010100102970318,02,180.00,토지의 이용현황에 따라 측정,2304,2,1,113.1900,48.19,73.64,14,시멘트벽돌조,11,단독주택
3892,2020,44180,충청남도 보령시,대천3지구,4418010100102970327,08,322.00,토지의 이용현황에 따라 측정,2312,2,1,90.2800,0.00,0.00,14,시멘트벽돌조,11,단독주택
3892,2020,44180,충청남도 보령시,대천3지구,4418010100102970328,08,197.00,토지의 이용현황에 따라 측정,2313,2,1,89.7300,45.55,71.82,14,시멘트벽돌조,11,단독주택
3892,2020,44180,충청남도 보령시,대천3지구,4418010100102970329,08,332.00,토지의 이용현황에 따라 측정,2314,2,1,90.7200,0.00,0.00,14,시멘트벽돌조,11,단독주택
3892,2020,44180,충청남도 보령시,대천3지구,4418010100102970466,08,839.00,토지의 이용현황에 따라 측정,3741,7,1,361.9300,39.25,227.04,03,철근콘크리트,32,제2종근린생활시설
3892,2020,44180,충청남도 보령시,대천3지구,4418010100102980003,08,299.00,토지 이용현황에 따라 측정,2339,3,1,224.6100,59.26,144.80,03,철근콘크리트,31,제1종근린생활시설
3892,2020,44180,충청남도 보령시,대천3지구,4418010100103100001,08,193.00,토지 이용현황에 따라 측정,2403,2,1,89.9950,0.00,0.00,14,시멘트벽돌조,11,단독주택
3892,2020,44180,충청남도 보령시,대천3지구,4418010100103180047,25,892.00,토지의 이용현황에 따라 측정,2447,2,1,299.1600,33.54,63.36,03,철근콘크리트,33,문화및집회시설
3892,2020,44180,충청남도 보령시,대천3지구,4418010100103180050,08,175.00,토지의 이용현황에 따라 측정,2449,2,1,0.0000,0.00,0.00,14,시멘트벽돌조,11,단독주택
3892,2020,44180,충청남도 보령시,대천3지구,4418010100103180051,08,213.00,토지의 이용현황에 따라 측정,2450,2,1,0.0000,0.00,0.00,14,시멘트벽돌조,11,단독주택
3892,2020,44180,충청남도 보령시,대천3지구,4418010100103610025,08,250.00,토지의 이용현황에 따라 측정,2663,2,1,0.0000,0.00,0.00,14,시멘트벽돌조,11,단독주택
4092,2020,44825,충청남도 태안군,포지지구,4482536024100470002,08,2169.00,이용현황에 의한 경계결정,279,2,1,527.2100,0.00,37.82,03,철근콘크리트,31,제1종근린생활시설
3949,2020,47150,경상북도 김천시,아포의리지구,4715025022102840000,08,311.00,주위에 뚜렷한 담장이 설치되어 있으므로 현실경계대로 경계결정,21988,1,1,77.0200,0.00,0.00,14,시멘트벽돌조,11,단독주택
3949,2020,47150,경상북도 김천시,아포의리지구,4715025022103130000,08,183.00,322-1번지와 합산면적을 고려해서 경계결정 ,9880,1,0,51.9000,0.00,0.00,14,시멘트벽돌조,11,단독주택
3949,2020,47150,경상북도 김천시,아포의리지구,4715025022103130000,08,183.00,322-1번지와 합산면적을 고려해서 경계결정 ,9881,1,0,63.1400,0.00,0.00,14,시멘트벽돌조,11,단독주택
3949,2020,47150,경상북도 김천시,아포의리지구,4715025022103170000,08,792.00,현실경계대로 경계결정.,30526,1,0,65.7800,0.00,0.00,13,황토조,11,단독주택
3949,2020,47150,경상북도 김천시,아포의리지구,4715025022103240008,08,609.00,현실경계대로 경계결정,24844,1,1,92.2700,0.00,0.00,14,시멘트벽돌조,11,단독주택
3870,2020,47150,경상북도 김천시,대항대룡지구,4715038026101510004,08,241.00,현실경계대로 경계결정 하되 151-5번지 소유자와 경계결정 협의,45263,1,1,99.3400,12.53,12.53,14,시멘트벽돌조,11,단독주택
3870,2020,47150,경상북도 김천시,대항대룡지구,4715038026101510005,08,552.00,현실경계대로 경계결정 하되 151-4번지 소유자와 경계결정 협의,28443,1,1,184.9200,33.50,35.13,16,시멘트블럭조,11,단독주택
3870,2020,47150,경상북도 김천시,대항대룡지구,4715038026105910003,08,261.00,주위에 뚜렷한 담장이 설치되어 있으므로 현실경계대로 경계결정,44232,1,1,126.7300,0.00,0.00,14,시멘트벽돌조,11,단독주택
4328,2020,47190,경상북도 구미시,문성2지구,4719025332101620007,08,524.00,외측 경계선은 현실경계대로 하되 안쪽선 현실경계가 불명확하기때문에 소유자와 협의후 면적과 비교하여 경계를 결정함이 타당,1953,1,0,142.2000,0.00,27.10,13,황토조,11,단독주택
4328,2020,47190,경상북도 구미시,문성2지구,4719025332102040099,02,279.00,현실경계대로 경계설정하되 동쪽부분에서 면적조정 여지가 있음,35847,2,1,177.4800,59.96,111.15,14,시멘트벽돌조,31,제1종근린생활시설
4327,2020,47190,경상북도 구미시,문성1지구,4719025332108110009,08,207.00,현실경계대로 경계결정이 타당함.,36037,2,1,117.5000,56.80,98.90,14,시멘트벽돌조,11,단독주택
4327,2020,47190,경상북도 구미시,문성1지구,4719025332108120002,08,938.00,현실경계대로 경계결정이 타당함.,36089,5,1,379.0800,40.40,176.10,03,철근콘크리트,21,아파트
4259,2020,48860,경상남도 산청군,노은지구,4886033022105780000,04,1977.00,축사,9147,1,0,0.0000,8.00,8.00,04,철골,55,동물및식물관련시설
